Descipline,Slug_Game,Event,Gender,Medal,Participant_Type,Full_Name,Country,Country_Code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Stefania CONSTANTINI,Italy,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Amos MOSANER,Italy,ITA
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Kristin SKASLIEN,Norway,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Magnus NEDREGOTTEN,Norway,NOR
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Almida DE VAL,Sweden,SWE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Oskar ERIKSSON,Sweden,SWE
Curling,beijing-2022,Women,Women,GOLD,GameTeam,,Great Britain,GBR
Curling,beijing-2022,Women,Women,SILVER,GameTeam,,Japan,JPN
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,,Sweden,SWE
Curling,beijing-2022,Men,Men,GOLD,GameTeam,,Sweden,SWE
Curling,beijing-2022,Men,Men,SILVER,GameTeam,,Great Britain,GBR
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,,Canada,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,Mikael KINGSBURY,Canada,CAN
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,Walter WALLBERG,Sweden,SWE
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,Ikuma HORISHIMA,Japan,JPN
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,Nico PORTEOUS,New Zealand,NZL
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,David WISE,United States of America,USA
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,Alex FERREIRA,United States of America,USA
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,Henrik HARLAUT,Sweden,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,Birk RUUD,Norway,NOR
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,Colby STEVENSON,United States of America,USA
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,Sergey RIDZIK,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,Alex FIVA,Switzerland,SUI
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,Ryan REGEZ,Switzerland,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,Mathilde GREMAUD,Switzerland,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,Ailing Eileen GU,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,Tess LEDEUX,France,FRA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,Jaelin KAUF,United States of America,USA
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,Jakara ANTHONY,Australia,AUS
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,Anastasiia SMIRNOVA,ROC,ROC
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,,United States of America,USA
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,Marielle THOMPSON,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,Sandra NAESLUND,Sweden,SWE
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,Daniela MAIER,Germany,GER
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,Ilia BUROV,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,Guangpu QI,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,Oleksandr ABRAMENKO,Ukraine,UKR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,Hanna HUSKOVA,Belarus,BLR
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,Mengtao XU,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,Megan NICK,United States of America,USA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,Cassie SHARPE,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,Ailing Eileen GU,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,Rachel KARKER,Canada,CAN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,Ailing Eileen GU,People's Republic of China,CHN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,Mathilde GREMAUD,Switzerland,SUI
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,Kelly SILDARU,Estonia,EST
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,Nicholas GOEPPER,United States of America,USA
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,Jesper TJADER,Sweden,SWE
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,Alexander HALL,United States of America,USA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,Suzanne SCHULTING,Netherlands,NED
